City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sinabang,2.4803,96.3801,26.91,76,96,1.27,ID,1693148376
84,kharakvasla,18.4333,73.7667,21.76,92,39,2.39,IN,1693148376
85,aasiaat,68.7098,-52.8699,3.75,81,98,4.36,GL,1693148376
86,dali,25.7,100.1833,17.77,94,100,1.53,CN,1693148119
87,kokopo,-4.352,152.2633,25.2,85,100,6.9,PG,1693148377
88,ust-nera,64.5667,143.2,11.11,85,100,0.96,RU,1693148377
89,mazamari,-11.3258,-74.5308,27.67,67,85,0.29,PE,1693148377
90,san patricio,28.017,-97.5169,30.51,61,0,2.36,US,1693148377
91,hede,33.7681,120.2517,24.05,98,100,5.14,CN,1693148378
92,turkmenbasy,40.0222,52.9552,27.43,34,0,8.23,TM,1693148378
93,santa cruz,-17.8,-63.1667,23.03,28,75,6.69,BO,1693148378
94,cockburn town,21.4612,-71.1419,28.91,73,13,5.75,TC,1693148378
95,fort st. john,56.2499,-120.8529,13.94,77,0,2.06,CA,1693148378
96,gadzhiyevo,69.2551,33.3362,10.17,80,100,4.13,RU,1693148378
97,constantia,44.1833,28.65,29.38,57,0,3.78,RO,1693148184
98,enshi,30.3,109.4833,20.46,98,100,1.03,CN,1693148379
99,kailua-kona,19.6406,-155.9956,23.06,88,65,0.61,US,1693148379
100,mata-utu,-13.2816,-176.1745,26.77,80,98,11.3,WF,1693148379
101,remire-montjoly,4.9167,-52.2667,32.02,66,40,3.6,GF,1693148379
102,anadyr,64.75,177.4833,5.0,86,0,3.58,RU,1693148379
103,margaret river,-33.95,115.0667,15.28,85,21,5.91,AU,1693148260
104,bei'an,24.5399,109.533,25.51,95,100,1.56,CN,1693148380
105,port alfred,-33.5906,26.891,17.32,70,46,1.79,ZA,1693148380
106,buala,-8.145,159.5921,25.35,84,80,2.79,SB,1693148380
107,new norfolk,-42.7826,147.0587,5.4,97,3,0.96,AU,1693148380
108,okhotsk,59.3833,143.3,14.42,69,12,2.07,RU,1693148092
109,st. john's,47.5649,-52.7093,20.93,77,75,4.63,CA,1693148305
110,saudarkrokur,65.7461,-19.6394,14.96,56,12,2.76,IS,1693148381
111,tripoli,32.8752,13.1875,33.6,42,0,6.21,LY,1693148381
112,springhill,33.006,-93.4668,31.13,63,80,2.36,US,1693148381
113,inirida,3.8653,-67.9239,33.84,51,0,0.65,CO,1693148381
114,tolanaro,-25.0319,46.9987,24.04,78,20,5.66,MG,1693148381
115,jeju city,33.5097,126.5219,27.96,83,75,4.63,KR,1693147610
116,keetmanshoop,-26.5833,18.1333,23.51,11,0,5.14,NA,1693148381
117,timmins,48.4669,-81.3331,13.9,67,20,1.03,CA,1693148382
118,dudinka,69.4058,86.1778,12.57,71,100,2.92,RU,1693148382
119,nar'yan-mar,67.6713,53.087,7.43,89,100,4.52,RU,1693148382
120,behshahr,36.6923,53.5526,28.97,54,5,2.92,IR,1693148382
121,luau,-10.7073,22.2247,36.42,8,16,3.88,AO,1693148382
122,cassia,-20.5831,-46.9219,28.03,44,45,0.59,BR,1693148382
123,balkanabat,39.5108,54.3671,28.23,24,0,3.79,TM,1693148383
124,noumea,-22.2763,166.4572,16.99,75,100,4.64,NC,1693148383
125,jamestown,42.097,-79.2353,20.01,76,100,3.6,US,1693148383
126,quelimane,-17.8786,36.8883,26.97,74,40,5.81,MZ,1693148383
127,las tablas,7.7667,-80.2833,32.87,99,80,0.5,PA,1693148383
128,melito di porto salvo,37.9222,15.7714,34.19,79,0,4.63,IT,1693148383
129,eureka,40.8021,-124.1637,15.37,94,0,1.18,US,1693148117
130,dolbeau-mistassini,48.8763,-72.212,16.26,56,0,2.28,CA,1693148384
